ID,Title,Genres,Rating,Year,Numrate,Runtime,Image,Directors,Writers,Stars
tt2093977,Crush,"Horror, Thriller",5.6,2013,6.9K,94,"https://m.media-amazon.com/images/M/MV5BMjE4NGY1MjgtYmEwZS00ZjZlLWIwYTYtOTI1NDZkYjRhMTgwXkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Malik Bader,Sonny Mallhi,"Ashleigh Craig, Cody Hamilton, Lucas Till"
tt2054790,Age of Uprising: The Legend of Michael Kohlhaas,"Period Drama, Drama, History",6.1,2013,9.5K,122,"https://m.media-amazon.com/images/M/MV5BMTM4MjM5MzA4OF5BMl5BanBnXkFtZTgwMzA1NjUzMDE@._V1_QL75_UY281_CR8,0,190,281_.jpg",Arnaud des Pallières,"Christelle Berthevas, Arnaud des Pallières, Heinrich von Kleist","Mads Mikkelsen, Mélusine Mayance, Delphine Chuillot"
tt3741632,The Leisure Seeker,"Road Trip, Adventure, Comedy, Drama, Romance",6.7,2017,10K,112,"https://m.media-amazon.com/images/M/MV5BMTg1NTg2MzcyNF5BMl5BanBnXkFtZTgwNjMwMDIzNDM@._V1_QL75_UX190_CR0,0,190,281_.jpg",Paolo Virzì,"Michael Zadoorian, Stephen Amidon, Francesca Archibugi","Helen Mirren, Donald Sutherland, Christian McKay"
tt1107816,Giallo,"Giallo, Slasher Horror, Crime, Horror, Mystery, Thriller",4.4,2009,6.3K,92,"https://m.media-amazon.com/images/M/MV5BNGQ1YTFlOTgtZThmOS00N2ZhLThkODAtOTM0MWJlNjI3MjkwXkEyXkFqcGc@._V1_QL75_UX190_CR0,1,190,281_.jpg",Dario Argento,"Jim Agnew, Sean Keller, Dario Argento","Adrien Brody, Emmanuelle Seigner, Elsa Pataky"
tt3859076,Truth,"Political Drama, Biography, Drama, History, Thriller",6.8,2015,22K,125,"https://m.media-amazon.com/images/M/MV5BMzkxNjU2MzMzOF5BMl5BanBnXkFtZTgwOTA3Mjg4NjE@._V1_QL75_UY281_CR1,0,190,281_.jpg",James Vanderbilt,"James Vanderbilt, Mary Mapes","Cate Blanchett, Robert Redford, Dennis Quaid"
tt13818368,Fighter,"Action Epic, Action, Drama",6.2,2024,52K,166,"https://m.media-amazon.com/images/M/MV5BYmJiYzZhOTktNGIzNy00YjljLWI3ZDgtZGU2YWMzNGQ1YjQ5XkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg",Siddharth Anand,"Siddharth Anand, Ramon Chibb, Abbas Dalal","Hrithik Roshan, Deepika Padukone, Anil Kapoor"
tt13468602,The Lair,"Action, Horror, Sci-Fi, Thriller",4.6,2022,6.2K,97,"https://m.media-amazon.com/images/M/MV5BMGIxMGM4MzItNzRkMS00OTllLTkzMDMtMTk2ZjMxYjdkMmE2XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg",Neil Marshall,"Neil Marshall, Charlotte Kirk","Charlotte Kirk, Jonathan Howard, Jamie Bamber"
tt8058874,We Summon the Darkness,"Slasher Horror, Drama, Horror, Music, Thriller",5.2,2019,13K,91,"https://m.media-amazon.com/images/M/MV5BNmY5YmI3MjgtYWYyZC00YjFhLWEzMjctM2Y4ODJmZWJmOWUyXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Marc Meyers,Alan Trezza,"Alexandra Daddario, Keean Johnson, Maddie Hasson"
tt0763831,A Thousand Words,"Comedy, Drama, Fantasy",5.9,2012,46K,91,"https://m.media-amazon.com/images/M/MV5BMTAzODAwODkwMjBeQTJeQWpwZ15BbWU3MDI4MDE3NDc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Brian Robbins,Steve Koren,"Eddie Murphy, Cliff Curtis, Kerry Washington"
tt15398776,Oppenheimer,"Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Biography, Drama, History",8.3,2023,874K,180,"https://m.media-amazon.com/images/M/MV5BN2JkMDc5MGQtZjg3YS00NmFiLWIyZmQtZTJmNTM5MjVmYTQ4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Christopher Nolan,"Christopher Nolan, Kai Bird, Martin Sherwin","Cillian Murphy, Emily Blunt, Matt Damon"
tt0816692,Interstellar,"Adventure Epic, Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Time Travel, Adventure, Drama, Sci-Fi",8.7,2014,2.3M,169,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Matthew McConaughey, Anne Hathaway, Jessica Chastain"
tt15671028,No Hard Feelings,"Raunchy Comedy, Romantic Comedy, Teen Comedy, Teen Romance, Comedy, Romance",6.3,2023,193K,103,"https://m.media-amazon.com/images/M/MV5BZjk1NmZiNzYtZGUyYi00YzEwLTgwNWQtM2VmOWFmMGIwZDM2XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg",Gene Stupnitsky,"Gene Stupnitsky, John Phillips","Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti"
tt10545296,The Hunger Games: The Ballad of Songbirds & Snakes,"Dystopian Sci-Fi, Teen Adventure, Action, Adventure, Drama, Sci-Fi, Thriller, War",6.7,2023,157K,157,"https://m.media-amazon.com/images/M/MV5BZDk2YjNhYzEtYzg2ZC00OWEwLWJhYzgtMGUzMWVjNDFmYzI5XkEyXkFqcGc@._V1_QL75_UX190_CR0,6,190,281_.jpg",Francis Lawrence,"Michael Lesslie, Michael Arndt, Suzanne Collins","Rachel Zegler, Tom Blyth, Viola Davis"
tt1259528,Den of Thieves,"Cop Drama, Heist, Action, Crime, Drama, Thriller",7.0,2018,140K,140,"https://m.media-amazon.com/images/M/MV5BMzYyODcwMDAyM15BMl5BanBnXkFtZTgwOTA4MjIwNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg",Christian Gudegast,"Christian Gudegast, Paul T. Scheuring","Gerard Butler, Pablo Schreiber, O'Shea Jackson Jr."
tt3210686,Son of God,"Biography, Drama, History",5.7,2014,20K,138,"https://m.media-amazon.com/images/M/MV5BMjA3NjQ2ODYwN15BMl5BanBnXkFtZTgwNTQ0NDc2MDE@._V1_QL75_UX190_CR0,0,190,281_.jpg",Christopher Spencer,"Richard Bedser, Christopher Spencer, Colin Swash","Diogo Morgado, Amber Rose Revah, Greg Hicks"
tt13087796,I'm Your Man,"Artificial Intelligence, Romantic Comedy, Comedy, Drama, Romance, Sci-Fi",7.1,2021,14K,108,"https://m.media-amazon.com/images/M/MV5BN2M5MDViZjQtMTc2NC00OWQyLTg0YzItNmM5YmQxMmRjYmUzXkEyXkFqcGc@._V1_QL75_UY281_CR5,0,190,281_.jpg",Maria Schrader,"Jan Schomburg, Maria Schrader, Emma Braslavsky","Maren Eggert, Dan Stevens, Sandra Hüller"
tt6516314,Piercing,"Horror, Mystery, Thriller",5.5,2018,8.9K,81,"https://m.media-amazon.com/images/M/MV5BOTMxMjU3NzgwNV5BMl5BanBnXkFtZTgwMjkyNzA2NDM@._V1_QL75_UY281_CR1,0,190,281_.jpg",Nicolas Pesce,"Ryû Murakami, Nicolas Pesce","Christopher Abbott, Laia Costa, Mia Wasikowska"
tt0132910,The Crow: Salvation,"Dark Comedy, Superhero, Action, Crime, Fantasy, Horror, Mystery, Thriller",4.9,2000,13K,102,"https://m.media-amazon.com/images/M/MV5BYTc3MGQ5MzUtYWUxOC00YTg3LTg2MjMtNTIxODk0OGI5OTM5XkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg",Bharat Nalluri,"James O'Barr, Chip Johannessen","Kirsten Dunst, William Atherton, Debbie Fan"
